CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Freedom situation,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_rate_of_GDP,Gov't Expenditure % of GDP ,Country,Population _Millions,GDP_Billions,Top_Worst,GDP_Growth_Rate,5_Year_GDP_Growth_Rate,GDP_per_Capita,Unemployment_rate,Inflation,FDI_Inflow_Millions,Public Debt (% of GDP)
179,Venezuela,Venezuela,Americas,179,32,25.9,Repressed,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28,0,60,0,10,10,34,34,14.9,37.4,Venezuela,31.4,380.7,worst,-14,-7.8,12114,7.7,1087.5,-68,34.9
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,174,44,41,Repressed,29.7,18.1,15.8,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40,30,15.6,35,35,20.4,32.8,Equatorial Guinea,0.8,30.4,worst,-4.4,-5.6,36017,6.9,0.7,304.1,42.7
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,161,38,49.1,Repressed,19.6,29.6,23.2,65.2,94.2,94.3,24.2,40.1,72.3,51,45,30,14.5,50,30,9,13.9,Central African Republic,5,3.4,worst,4,-4.5,677,6,3.8,17.2,53.4
172,Ukraine,Ukraine,Europe,147,44,52.3,Mostly Unfree,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30,2.5,20,18,33.1,42.1,Ukraine,42.3,368.8,worst,2.5,-2.3,8713,9.5,14.4,"2,202.00",75.6
186,Brunei Darussalam,Brunei ,Asia-Pacific,63,14,65.1,Moderately Free,64,56,43.7,90.7,59.9,20,80.2,90.8,76.5,84,65,50,0.5,0,18.5,24.2,36.6,Brunei Darussalam,0.4,33.5,worst,0.5,-1.4,78196,7.1,-0.1,-46.3,2.7
167,Trinidad and Tobago,TrinidadTobago,Americas,112,22,57,Mostly Unfree,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50,8.3,25,25,22.8,35.7,Trinidad and Tobago,1.4,43,worst,-2.6,-1.3,31367,4.8,1.9,178.7,41.3
155,Suriname,Suriname,Americas,165,28,48.1,Repressed,49.1,22.2,35.5,70.9,77.2,9.6,48.3,73.5,56,64.6,40,30,10.2,38,36,13.2,27.6,Suriname,0.6,8.5,worst,0,-0.9,14606,8.1,22,-87.3,72.1
10,Bahamas,Bahamas,Americas,76,15,62.9,Moderately Free,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60,18.6,0,0,16.3,21,Bahamas,0.4,11.6,worst,1.3,-0.7,31139,12.6,1.4,927.7,57.2
100,Macau,Macau,Asia-Pacific,34,9,71,Mostly Free,60,60,33.2,77.1,90.4,100,60,50,76.5,90,85,70,0,12,39,25,17.9,Macau,0.6,71.8,worst,9.3,-0.6,111629,2,1.2,"1,996.80",0
22,Brazil,Brazil,Americas,150,27,51.9,Mostly Unfree,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69,50,50,8,27.5,34,32.2,38.6,Brazil,207.7,3240.3,worst,1,-0.5,15603,13.3,3.4,"62,712.60",84
